business_age,annual_turnover,monthly_profit,monthly_expenses,existing_loan_amount,employee_count,credit_score,gst_compliance_score,debt_to_income_ratio,years_with_bank,upi_transaction_volume,loan_approved
6,42177181,546029,222053,5240928,57,812,83,0.64,1,125480,0
9,7591431,217334,371384,12909867,52,848,60,0.83,10,2785534,0
3,3151453,381783,224065,4801950,135,529,92,0.33,5,4662490,0
14,42197076,727268,52942,9699249,1,555,83,0.58,12,2643049,0
8,39403989,649821,282881,6968680,209,731,59,0.35,5,1666087,0
13,29815913,589358,463920,14520899,3,772,92,0.83,4,3574432,0
1,12799857,694709,365822,1225976,49,628,92,0.11,10,3292261,0
15,45955163,84304,66202,5679916,57,692,74,0.92,4,4981788,0
7,13127117,493787,538459,13655839,9,646,57,0.64,4,4333951,0
9,19508531,276436,494982,13575053,254,751,71,0.44,4,4164891,0
15,19193701,97141,225128,13044720,122,897,79,0.82,11,910444,0
6,41669634,470096,590614,3868954,112,657,87,0.89,3,4926581,0
1,11538846,36242,44014,11104395,27,531,79,0.43,4,2529159,0
14,24287201,221351,252745,6593369,238,564,93,0.7,13,2532028,0
9,10516366,39312,175471,5407340,159,563,74,0.74,15,518613,0
20,19763679,482009,154519,5194117,101,749,89,0.19,9,1181303,1
19,20695809,589343,108564,6601902,279,618,95,0.41,10,4983551,0
10,10080028,544743,139364,12721432,199,683,64,0.68,14,4241937,0
19,47353376,751565,559126,11196605,205,676,66,0.65,8,2612291,0
16,11021993,512275,254649,11461230,259,834,74,0.64,11,215145,0
16,35635148,101774,330834,1234276,256,796,61,0.28,2,199362,0
11,31213904,647141,253169,7401789,120,549,97,0.44,7,4614050,0
13,6888913,95770,212587,13572762,194,859,65,0.79,5,3692108,0
7,29749645,334834,197123,14226459,169,604,95,0.46,12,4208663,0
2,39106436,518520,126201,10438696,280,712,69,0.37,5,2385111,0
13,21800272,562961,581919,8141227,154,749,92,0.25,14,442810,1
7,27225124,336563,397711,5918255,291,574,73,0.79,6,4272020,0
5,49071768,477792,179197,13394360,91,766,67,0.34,12,2928273,0
5,25898635,232028,468075,8902655,76,624,53,0.45,3,2098067,0
3,41772385,661612,115600,1337914,224,726,95,0.97,14,1354859,0
15,39350058,255697,506389,8275634,271,623,95,0.26,3,3666291,0
17,24318651,475852,442489,8678067,207,832,88,0.43,7,3269415,1
5,21168566,786993,418134,12450702,213,803,82,0.32,11,2861729,1
19,40318835,192329,227560,13553710,117,591,58,0.64,5,1409734,0
5,3613988,487237,528526,11724245,40,604,95,0.16,13,4844599,0
10,35237497,35533,344794,11001467,290,899,82,0.67,7,4794668,0
17,15429786,715761,599085,10684409,6,569,65,0.83,6,2100298,0
15,33706627,458231,277722,1829437,148,831,61,0.22,13,4842036,0
15,40558871,492632,273075,4414785,233,716,78,0.87,7,2209083,0
8,13145612,595144,476668,14105376,99,758,54,0.33,6,602355,0
15,42281830,356127,457679,10382394,88,871,59,0.69,12,605347,0
10,31884834,616662,165983,1828765,296,731,90,0.56,11,4402594,0
7,7882794,479932,598024,13857955,22,787,72,0.73,13,3758432,0
1,36924697,570984,229794,4187448,222,883,60,0.84,1,1781296,0
9,19254842,64525,585174,12633358,105,644,72,0.12,14,2673431,0
15,34798512,253119,173644,9524190,157,775,96,0.62,15,1982819,0
19,1982485,564705,371045,7121346,158,847,69,0.64,11,2196776,0
4,18777646,571618,131174,14387601,64,641,100,0.23,14,4539038,0
7,7451623,291042,429973,10001869,108,527,70,0.26,7,4647925,0
17,41998708,84000,12479,11783308,108,681,66,0.34,12,1473206,0
14,9661963,237610,555653,3552078,197,826,62,0.25,1,1232038,0
6,37077220,324605,116245,9773038,238,614,63,0.21,9,2194176,0
16,1304489,285232,208884,12266499,10,513,61,0.31,6,2289416,0
12,17398831,508757,355631,9628793,188,877,87,0.44,1,3856796,1
2,38195391,712671,329969,2779230,225,746,62,0.9,6,4079576,0
5,40937959,655394,299421,12977731,92,839,65,0.83,9,2477910,0
9,38301107,526448,24560,10623942,154,505,74,0.65,14,852101,0
16,16003950,755693,449187,3196215,284,519,63,0.25,8,4878349,0
16,29618942,259312,307827,11916492,225,761,92,0.71,2,3892115,0
14,22930116,77412,73311,7542134,231,517,83,0.71,13,228521,0
13,22213913,269133,118188,5808972,112,669,75,0.37,2,4832653,0
18,46304274,672675,498013,6079056,217,620,66,0.51,5,2386959,0
8,10501021,684618,371116,8043715,53,545,68,0.46,4,2699528,0
15,12316661,422505,255704,2244235,162,529,70,0.8,15,1767428,0
5,4457950,257772,49596,11784643,88,709,57,0.45,12,3922356,0
9,47637720,783562,454390,11958792,215,698,86,0.23,2,4933164,0
8,28147654,188342,85841,2393551,224,866,98,0.51,13,3048651,0
16,27416907,152395,251252,8372370,7,502,74,0.8,12,76316,0
13,20267734,122871,489753,5355847,42,827,69,0.2,8,4019180,0
4,14113112,251553,528260,7453540,125,802,97,0.98,2,2960806,0
2,35712611,132790,532487,14397821,181,572,67,0.56,6,1617194,0
12,38724204,334466,298207,4700968,239,844,66,0.85,11,4998447,0
8,27193439,745229,233892,7345926,182,673,75,0.86,13,1044354,0
6,44148860,587866,78084,13730802,197,888,52,0.61,8,3576848,0
14,11831154,551637,275405,2904023,32,704,79,0.5,5,387253,0
16,26834939,668738,317585,7804452,293,507,90,0.51,2,4911035,0
11,45096593,759396,80632,8254258,251,551,77,0.84,2,4647411,0
11,7047783,733910,532555,11825884,199,701,96,0.13,14,3462751,1
10,13695108,441219,469238,13645920,267,654,87,0.85,2,4492566,0
16,25538251,419267,157847,14720891,1,552,65,0.66,6,1503880,0
2,29818105,597426,498318,9029187,9,588,90,0.54,2,2813888,0
13,21960365,611962,553901,1815685,91,896,60,0.95,6,3054437,0
12,42975119,755718,398005,13503946,27,857,82,0.68,5,2995555,0
13,29518669,139122,51397,14129786,200,755,79,0.94,2,4110156,0
16,13401468,247134,340668,1024325,166,621,69,0.56,11,1880719,0
18,46673499,165049,398783,2915838,101,608,87,0.85,7,1677439,0
9,42482271,90606,147882,3862161,194,725,70,0.98,6,3385786,0
13,9776880,666753,410832,14542907,244,608,63,0.96,13,4169688,0
9,16730635,364707,427498,135157,65,627,65,0.35,13,2437431,0
17,41579703,599934,280400,7117450,93,526,93,0.86,4,4826117,0
9,28415034,513163,82509,7311084,279,633,67,0.92,1,2690967,0
10,619458,283757,361775,2747765,128,885,74,0.97,4,1132236,0
2,28377239,604846,152936,14646607,299,870,97,0.7,14,2379368,0
18,14800607,416081,168777,11846705,220,648,55,0.61,6,4065333,0
7,29713077,272558,585022,2630822,140,771,58,0.62,12,3602195,0
10,30191811,752728,16414,7791003,200,510,68,0.94,10,3899436,0
15,15631446,600395,293629,4116867,29,717,68,0.35,6,336236,0
14,33313537,66064,577456,1761414,259,608,89,0.48,6,650410,0
16,37664671,525565,97835,6702553,226,697,55,0.77,13,445412,0
20,47508488,734209,391206,45188,122,550,53,0.5,12,2251992,0
19,20741922,593758,502778,10560383,167,696,73,0.55,4,1283292,0
8,22378112,461248,75601,11843766,266,758,92,0.91,12,954937,0
12,3066602,246479,515918,9222427,280,730,79,0.54,10,2335369,0
6,2724635,681772,253076,14359371,252,578,85,0.36,15,3289957,0
15,39075659,540945,318086,4824213,229,726,94,0.93,15,4266192,0
10,1617006,306002,48023,6451747,271,742,74,0.27,15,241756,0
10,18123825,49792,112603,4217693,210,766,61,0.65,15,2100467,0
1,16673521,555362,567477,6303821,101,640,53,0.21,15,4852760,0
8,30303185,24516,421510,12810924,176,658,57,0.49,14,2458448,0
10,21539447,226335,279035,14632148,27,875,54,0.24,14,4977683,0
6,11141189,302774,156984,8854933,112,592,99,0.21,9,3156502,0
18,27086047,421549,84462,6607082,277,781,100,0.57,5,4947947,0
3,9293591,565456,184617,11060823,51,539,85,0.34,5,3828617,0
10,10515077,594961,457918,2632740,47,540,91,0.29,5,1350902,0
7,31023049,288248,366133,10796428,63,887,53,0.59,5,3943986,0
15,32354504,669055,227356,7812246,123,712,54,0.16,12,3783743,0
12,37078877,663276,89825,4683290,112,698,69,0.58,4,2755255,0
18,22475786,621895,270751,14252984,130,773,69,0.91,9,4192723,0
2,27825397,445696,298675,10573430,136,863,68,0.53,5,1901583,0
8,2400832,150072,532051,7395720,216,740,76,0.27,9,4105985,0
20,31826000,670917,402584,14047291,128,747,73,0.48,7,4632532,0
2,23231919,244367,164930,9793340,159,712,64,0.4,11,4054317,0
9,47500639,156576,156216,4901916,78,506,93,0.31,7,2122152,0
19,44925942,377751,279166,689236,116,827,70,0.73,11,165088,0
7,20631026,588115,463665,238989,297,753,100,0.12,4,2245529,1
5,41710564,475100,117617,134729,299,535,58,0.71,7,908158,0
7,33534513,563316,260918,10759598,56,766,69,0.29,14,4436018,0
12,26825097,690667,290455,4599512,196,661,59,0.17,6,4036125,0
18,38857925,541689,457741,5867703,93,877,76,0.28,10,3803103,0
10,27022532,232034,338349,6377566,257,618,89,0.96,2,4570648,0
18,27147478,239721,277083,6641648,40,824,76,0.63,1,3001499,0
13,41535365,501964,44960,6326469,188,553,78,0.37,6,757641,0
8,1711369,548742,309952,7734132,151,693,92,0.78,13,4229577,0
3,4476166,436614,457413,11530361,19,589,76,0.69,9,4087384,0
13,36248909,150533,93495,13538852,52,713,83,0.46,10,3789117,1
18,44010369,196839,488323,12155069,197,531,66,0.85,6,1339120,0
9,33059393,788472,102036,14507986,156,766,99,0.39,7,2922522,1
1,44898693,686524,434713,7841372,216,772,100,0.16,3,802692,1
18,12019585,787006,326295,2468564,69,705,82,0.74,9,2068024,0
1,34780124,770633,254392,11291941,158,605,96,0.8,15,1032952,0
2,48584816,391803,85797,4560830,77,549,70,0.52,8,1486913,0
10,30808209,609858,15662,11550089,93,661,71,0.73,10,1900341,0
20,27014530,631247,31319,14892510,54,517,77,0.16,1,780650,0
7,13187035,139267,35191,11725307,25,790,85,0.48,14,540774,1
13,24396009,550359,204860,3098858,240,524,88,0.31,2,488886,0
8,28861702,695117,261974,10368638,75,524,63,0.45,12,2612030,0
12,2419627,107808,109847,4726672,60,895,59,1.0,2,2816915,0
19,40725041,756009,488206,366251,120,861,53,0.44,2,4080656,0
12,25820417,90553,316821,9290919,74,536,83,0.35,9,2787475,0
10,1634920,469080,420487,7765978,117,672,54,0.28,11,1736471,0
12,11590138,690529,87833,12860797,201,725,79,0.61,2,690953,0
16,23446095,415651,462073,3918950,213,784,83,0.58,12,151327,0
20,32608105,412941,500759,7449988,226,787,100,0.31,7,187607,1
20,17250705,231241,405221,4422196,170,650,99,0.31,4,1993137,0
1,48990271,43311,264180,13155378,149,676,91,0.96,14,413113,0
1,26837873,560376,73509,10246293,133,584,73,0.53,13,820969,0
14,28173083,486902,540878,13523188,256,805,76,0.52,10,1233817,0
9,48286694,401272,567825,6436812,176,570,77,0.65,9,136966,0
15,48334610,733345,438751,7381060,1,542,84,0.82,5,4185988,0
19,29093777,372759,207131,9261908,219,577,75,0.64,6,2706610,0
15,42110430,301989,286881,6435290,2,723,82,0.97,3,956397,0
10,34889058,208908,34436,5408493,10,706,65,0.72,15,797186,0
13,32134758,518998,494058,6232605,168,565,82,0.75,7,1890628,0
8,44296001,473242,314067,1601216,32,516,70,0.35,8,526480,0
12,5315559,554030,422207,1474767,125,586,60,0.52,7,1477844,0
7,38857783,357682,281784,11555566,171,544,90,0.15,14,530457,0
14,981899,547271,417592,553199,102,505,90,0.56,5,3600071,0
7,32357043,163160,558535,10365359,146,768,59,0.72,3,2095635,0
6,40589373,107553,230199,12290437,182,539,85,0.19,7,3251960,0
13,41866972,397696,571823,10817152,33,612,76,0.17,6,2711777,0
9,36999374,540947,250253,7403553,156,842,94,0.58,8,1306867,0
19,21667584,394921,437617,14064822,178,771,77,0.12,4,4788692,0
13,35875109,58650,182706,6730751,299,645,64,0.52,1,1028603,0
6,46286078,470976,472728,8929308,258,788,64,0.31,4,3379773,0
1,35824613,260949,533164,5031756,240,638,51,0.18,14,4271384,0
14,34994916,688379,309111,8918289,114,774,91,0.44,11,4374036,1
7,36854846,250813,507224,11135675,115,681,50,0.24,1,433572,0
18,41081882,148608,328558,7090375,267,514,91,0.3,12,187844,0
2,46140123,234969,147607,8205680,194,539,92,0.46,11,4328840,0
15,4771216,145433,311357,1946100,65,597,72,0.9,12,4301126,0
1,44737597,470213,22293,13261358,117,849,67,0.38,6,3334004,0
11,2158518,395353,439992,12956168,46,587,80,0.79,9,817329,0
19,11930670,676860,563263,9346885,127,826,81,0.22,6,4972957,1
7,33763475,584791,61314,10880843,101,558,52,0.58,11,3922521,0
6,1899801,41049,406184,8030859,207,708,76,0.14,13,3590737,0
6,17133591,264195,318049,1603589,52,706,94,0.86,6,4490331,0
17,42402523,335286,16778,9933589,91,779,58,0.63,5,1369129,0
7,44951878,304668,446235,14251944,187,529,59,0.74,8,1876839,0
19,45726756,154582,227537,13125316,211,840,76,0.65,11,4088869,0
12,44455473,499104,74059,10516850,276,634,90,0.11,12,4696045,0
14,2169787,652079,517229,488545,7,536,65,0.75,3,1039735,0
14,19117030,344693,185758,5277639,170,800,82,0.69,8,421599,0
15,46910047,565916,16409,9216731,37,587,84,0.18,6,4690138,0
19,3393812,157252,533409,12551023,6,653,68,0.9,14,4948749,0
4,43183460,739258,557642,4440932,108,831,80,0.61,10,361611,0
17,24695113,420553,539792,13941000,2,711,87,0.98,3,3938221,0
10,34701054,252134,582406,1224011,261,766,52,0.25,8,679768,0
5,31406053,381246,571380,11623744,284,843,63,0.87,14,3140495,0
10,30293748,293616,38718,10828031,279,558,77,0.63,15,4410879,0
13,11768073,353092,475319,353258,171,548,54,0.14,9,1773451,0
20,18248126,78568,578851,5175898,146,697,60,0.95,3,1980383,0
17,44671960,498190,556856,348173,232,642,61,0.4,3,1659670,0
1,25730060,209983,357499,7909585,184,851,91,0.77,13,3187899,0
2,14168631,295469,107315,14382225,28,629,56,0.69,11,4311680,0
8,34929906,76244,58277,3263569,57,601,66,0.77,10,4669238,0
11,39122266,783320,439372,14581252,88,612,61,0.51,15,4319121,0
13,40877889,329140,324011,10381922,257,889,56,0.96,2,767347,0
8,39935291,497597,229367,8600749,199,623,84,0.33,8,4595617,0
9,43937540,694416,405867,6250623,4,563,75,0.36,5,3300237,0
3,34790921,610318,539175,7847595,230,552,62,0.9,4,1559693,0
6,21179117,741372,592611,6296574,217,569,66,0.4,1,3369947,0
19,47458559,285323,280671,9357864,109,654,75,0.1,3,2303822,0
13,26111307,349365,185088,5047935,177,505,78,0.78,2,4281970,0
13,26094432,572693,301536,10443855,168,861,61,0.71,11,3577012,0
18,34681429,223152,291686,4336714,277,551,86,0.84,12,772712,0
5,19549226,615050,528765,1654799,147,847,87,0.38,4,988080,1
17,5790891,106408,59723,14553180,202,660,88,0.6,8,4990062,0
8,16650713,781854,533088,8442020,113,826,99,0.13,4,4693016,1
7,44650867,225119,271422,10946229,288,878,83,0.92,5,979486,0
11,17551532,255932,304656,6250355,232,700,97,0.9,9,257528,0
16,10068978,273958,473499,6503784,227,706,77,0.8,8,337079,0
17,36342608,395628,392014,13330381,20,829,93,0.88,10,1704958,0
17,17616298,681676,321728,2966425,171,716,89,0.78,12,4410222,0
7,10314316,691664,302263,10937983,176,571,87,0.36,14,963441,0
18,9604814,363342,25121,4350381,52,536,51,0.81,10,668102,0
2,28497037,451273,51685,3732217,272,600,80,0.68,4,1518447,0
14,14821974,347749,386413,12098646,83,526,58,0.57,6,887123,0
16,36669535,80545,293640,8749651,281,725,78,0.94,6,4760630,0
5,26745500,590224,54298,11346627,156,772,65,0.82,2,3221393,0
17,23889482,483502,20238,5461318,280,769,98,0.67,14,493430,0
10,18096287,543601,113454,11056734,203,651,69,0.78,7,4960188,0
12,27620794,680713,479681,2310555,182,790,80,0.4,10,3662431,1
4,29085803,256973,50941,2583720,151,697,91,0.84,6,2873952,0
14,17420698,156451,534168,2721754,207,809,89,0.68,5,4095006,0
18,1006675,705078,148115,1249893,162,620,72,0.36,13,4636405,0
15,42561391,679208,135589,12297703,252,638,70,0.8,13,1537136,0
17,36404693,570792,546521,11955547,197,780,74,0.35,8,4469059,0
14,13739926,21407,178574,10551618,284,505,54,0.89,5,278579,0
5,45665931,683441,353639,10640286,136,683,83,0.91,6,1333871,0
1,6081985,482834,354484,8427679,240,550,58,0.81,14,2732657,0
5,45403064,279805,333342,1722807,82,845,84,0.14,14,4983380,1
8,47910034,190412,61548,12577256,137,843,83,0.33,15,1346496,1
4,22200574,384565,317034,8525060,277,841,53,0.16,14,1679197,0
13,18400110,444124,85855,12496840,106,620,89,0.2,14,657910,0
18,610744,546531,234546,1082423,264,734,80,0.27,14,4455951,0
10,30621253,155542,162650,3888707,48,541,55,0.96,4,932215,0
4,21291484,136082,491301,14956292,157,747,64,0.8,2,1290166,0
3,11218847,140626,246609,14013204,121,584,74,0.38,11,2742758,0
11,6240833,783869,596026,12804488,270,589,67,0.78,2,1118573,0
18,37452117,500630,236494,5943394,26,810,76,0.89,11,3976772,0
10,9155548,614335,358512,12160874,108,812,55,0.38,14,2738406,0
8,9597847,690365,108693,4048270,299,876,82,0.57,12,3052112,0
6,7764304,362616,18259,7641228,127,890,65,0.77,4,351445,0
14,45411992,427670,56873,5184383,200,567,69,0.45,1,3650775,0
15,48718731,145580,290830,14212100,94,519,67,0.93,9,4778846,0
9,39177891,379258,483221,1366608,145,883,66,0.15,7,1920773,0
9,13139141,422728,531398,615328,232,894,68,0.38,5,3451629,0
16,1055128,249987,487200,12329293,28,578,94,0.91,13,216640,0
11,39506768,516649,162934,6262772,21,562,90,0.35,4,185686,0
19,29338594,797783,379693,11277592,210,665,97,0.13,3,1672747,0
8,5633366,473045,515469,6301025,297,580,50,0.76,2,3315627,0
5,26386441,171443,429260,12949875,194,606,92,0.35,1,4421333,0
3,15245559,323499,128832,7780391,89,514,78,0.72,11,2386768,0
20,18560967,161479,257630,6505284,11,755,96,0.12,8,4039267,1
4,9506092,98825,527403,5337536,291,640,72,0.74,14,1103646,0
18,27188735,525875,538958,13098129,171,514,100,0.73,9,3014454,0
20,23740935,625068,395235,14547194,85,672,59,0.72,15,3592714,0
7,24571860,772280,300774,9892449,158,733,74,0.7,9,2300886,0
5,35362535,55393,302940,809505,207,631,93,0.76,14,2522577,0
8,20888717,212072,474143,12597806,166,544,59,0.9,9,757153,0
2,41716549,53486,515116,3813704,260,793,93,0.98,12,157660,0
3,26456007,372479,113768,6008872,12,741,76,0.87,3,1285538,0
11,1387821,391321,543208,3232243,106,875,61,0.92,4,3987781,0
14,32076772,144037,266671,5305202,299,617,58,0.99,14,2047521,0
4,45364062,276416,80703,3636775,145,807,95,0.29,6,257336,1
16,13726999,682546,85717,1293385,221,812,92,0.79,11,2810479,0
9,28847674,396564,269086,2098939,171,660,53,0.29,8,973368,0
20,19721361,645762,403193,5487928,209,598,62,0.37,7,557722,0
17,40739960,259792,279505,3636416,261,726,79,0.99,1,4002418,0
8,43331626,531066,518582,4470129,276,545,61,0.46,1,2311663,0
1,43443580,655859,503404,9165784,2,821,74,0.35,10,3640871,0
13,40501273,593612,257333,2659076,187,634,55,0.25,8,3396191,0
1,19585302,427851,172384,3359265,18,617,60,0.21,10,1460004,0
3,23527421,143853,247097,11360970,198,752,72,0.27,3,4957141,0
18,31717376,364553,87658,7453827,174,509,95,0.3,7,4753234,0
4,38290307,220998,149489,1155919,10,602,79,0.48,6,2276087,0
14,29761757,107240,334559,10677621,121,654,79,0.72,15,2437038,0
11,2383339,248513,387061,7920314,103,655,94,0.46,9,4330458,0
10,36969214,417985,465001,13517763,185,678,79,0.36,8,2757744,0
15,33882247,498602,182834,1349826,14,500,55,0.96,12,3081689,0
20,34936844,114838,236290,8395736,158,548,76,0.38,7,1979141,0
10,27467595,144424,174985,4208447,73,646,97,0.14,12,3447894,0
13,29693523,592151,126531,9129595,3,841,77,0.66,10,3208852,0
16,11897269,262942,493247,986571,163,852,72,0.89,10,4418213,0
17,1616003,198607,303827,11944680,203,702,54,0.94,7,2500642,0
20,44250550,763993,21865,13516499,207,537,57,0.73,2,3479939,0
9,46523709,691760,176660,10371350,221,781,94,0.3,6,917897,1
6,31885415,795861,445501,14358335,189,546,90,0.2,4,3635833,0
13,35884933,520438,437513,12186674,197,835,55,0.47,10,1294911,0
9,21183550,598786,118167,7273205,155,832,55,0.98,1,658640,0
18,31497334,293871,285276,339677,119,567,54,0.1,10,3646588,0
6,23635818,45356,330778,6980835,237,642,94,0.8,8,1191634,0
9,47582140,674179,555453,11726662,79,536,86,0.62,15,4568845,0
9,29567251,500504,201957,7341670,295,843,94,0.89,7,224995,0
7,24906855,251335,467111,12296234,213,762,92,0.68,7,4347295,0
10,47051450,562569,94369,11384903,105,694,67,0.65,6,3269335,0
19,36405761,476657,428011,5451125,273,756,78,0.35,11,4861102,0
4,19037367,175201,235159,7226059,118,774,81,0.21,11,2122695,1
6,24057551,404771,507912,3308770,76,724,57,0.76,11,111454,0
16,33565385,454168,439302,2862917,226,826,63,0.74,6,2847799,0
12,19774024,149500,304037,5224314,74,727,50,0.64,15,4589703,0
7,48745545,53058,548510,1445146,49,666,56,0.96,7,2852197,0
9,36695428,675405,415787,9177596,88,778,81,0.79,5,1483541,0
2,9881622,452032,299501,14991154,238,748,76,0.8,11,1993947,0
20,33355578,524987,434538,3393811,174,761,81,0.72,2,2497346,0
10,46005035,563931,78467,12410108,11,700,83,0.17,1,1168191,1
18,1558252,351058,273358,14936061,200,706,64,0.39,5,2325963,0
5,46950833,768502,199661,7153295,163,863,58,0.42,7,2453895,0
17,17835657,480484,48948,9476117,102,581,72,0.9,7,4835582,0
18,47690784,406053,185606,6762153,275,660,57,0.85,8,1593710,0
1,12580582,200006,474978,11440454,233,800,59,0.43,7,4348134,0
8,34695383,287476,104108,9437067,64,819,66,0.76,6,634684,0
15,19476962,485247,325229,979262,253,519,57,0.62,14,3813993,0
2,44967300,713143,283426,6036691,64,884,61,0.51,8,1733872,0
11,47239726,719191,149661,10420428,133,506,98,0.89,13,2634520,0
4,35583369,607028,571988,1458003,239,571,83,0.38,4,2038992,0
2,40053952,277916,63905,11447519,251,820,92,0.82,2,213053,0
2,8686565,52066,199656,2454210,221,509,55,0.9,4,1205780,0
1,11331826,480351,128852,7597905,175,592,82,0.62,2,2755670,0
6,5741897,179817,224153,6783946,23,889,78,0.64,2,3743984,0
10,1024204,714533,134432,11624168,20,618,67,0.47,15,3246275,0
4,11160101,561623,122698,10285681,113,788,55,0.76,12,314063,0
18,36881803,616011,515743,10473648,18,822,56,0.6,6,4662008,0
10,38993387,317644,255743,14845346,251,648,74,0.77,7,1793607,0
16,33400014,136202,16847,8372697,38,676,98,0.74,1,2546170,0
6,18790127,253962,508892,14689262,103,515,99,0.56,12,2978796,0
7,31057549,728415,67746,6872696,135,820,82,0.48,8,4014382,1
17,9284071,357927,421741,8881520,73,619,87,0.35,8,1821136,0
1,30228037,405592,349656,8217506,195,535,61,0.37,4,4441058,0
2,26870668,254269,473619,8032923,146,694,74,0.83,3,1829402,0
20,25941698,333701,435296,2874940,186,602,82,0.53,12,3330211,0
9,21089750,515562,277832,7496519,93,842,78,0.32,11,1268384,0
1,13842159,474007,265905,9133756,250,624,70,0.39,2,2674935,0
18,8779941,247410,103415,3828282,125,798,86,0.87,9,77975,0
9,41301613,154393,159764,2366425,182,599,68,0.39,2,1220980,0
7,39979361,626013,129278,4578317,236,641,87,0.31,12,1221821,0
6,23988026,331720,168832,646696,179,675,83,0.38,2,2718071,0
18,12357616,121879,59739,5409822,205,567,53,0.58,4,1888481,0
10,13721425,748226,344114,13423693,239,755,100,0.68,11,3423353,0
15,30823688,282244,62925,6217881,216,511,95,0.22,10,3538329,0
1,4539285,658797,554677,10773591,194,659,98,0.8,8,1073401,0
1,40579763,244524,54116,8933668,6,503,99,0.59,2,3903162,0
19,3073308,101877,81974,7392404,215,589,50,0.42,1,3071969,0
3,17338292,635345,359024,7856107,171,581,85,0.5,2,3330856,0
6,48932674,76314,584294,6768496,172,833,51,0.32,2,4636054,0
2,48553813,677919,421321,13778733,48,625,54,0.76,1,1838664,0
4,48301268,89260,160099,1716105,28,597,86,0.81,7,2669227,0
13,40478386,148455,504584,4825455,76,519,99,0.96,1,3344387,0
4,40003789,648823,237455,8404877,106,855,80,0.39,13,3107384,1
19,35540206,422277,442738,13650633,53,682,73,0.72,6,197775,0
8,29890732,709134,473884,7168778,181,579,59,0.73,8,2755864,0
9,4225288,244471,27514,13136382,5,632,56,0.74,11,4806142,0
13,37793668,99576,62958,11602944,94,642,96,0.18,2,2314063,0
10,8805287,390658,442534,11302802,162,508,69,0.77,15,4895046,0
15,43462469,397418,168425,9700500,205,561,51,0.85,3,2789054,0
19,22920802,314351,291470,13268609,118,793,69,0.48,13,4451094,0
